NRGSTREAM Data Extract for stream : AB - Market Comments,
07/03/2019 14:31,The AESO is doing planned system maintenance today at 15:10pm MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/03/2019 10:28,The AESO is doing planned system maintenance today at 11:10am MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/01/2019 2:35,Keephills 1 on-line.
06/29/2019 21:51,Keephills 1 off-line.
06/28/2019 03:00,Genesee 1 online.
06/27/2019 22:34,Genesee 1 off line.
06/26/2019 19:29,Genesee 2 on line.
06/26/2019 18:35,Genesee 1 on line.
06/26/2019 17:28,Genesee 2 off line
06/26/2019 09:42,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
06/25/2019 00:31,Sundance #6 off line.
06/20/2019 19:32,Genesee 2 online.
06/20/2019 16:39,Genesee  2 off line.
06/20/2019 14:58,Genesee 2 on line.
06/19/2019 06:02,Sundance 6 on line.
06/18/2019 20:46,Sundance 6 off line.
06/18/2019 20:20,Battle River 4 on line.
06/18/2019 16:18,Sundance 6 on line.
06/18/2019 15:29,Genesee 2 off line.
06/18/2019 13:05,Battle River 4 off line.
06/18/2019 11:25,Sundance 6 off line.
06/17/2019 01:28,Sundance 6 on line.
06/14/2019 21:26,Sundance #6 off line.
06/14/2019 14:17,Keephills 2 on line.
06/13/2019 22:00,Path 83 back in service.
06/13/2019 21:51,Path 1 back in service.
06/13/2019 21:18,Path 1 and Path 83 tripped.
06/13/2019 21:04,L274 Natal to Line Creek back in service.
06/13/2019 19:16,1L274 Natal to Line Creek out of service.
06/13/2019 13:24,The AESO is doing planned system maintenance today at 14:10pm MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
06/13/2019 09:28,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
06/11/2019 22:58,Sundance #4 on line.
06/11/2019 9:46,The AESO is doing planned system maintenance today at 10:10 am MDT for approximately 20 minutes. ETS will be unavailable for the duration of the outage. ETS submissions and restatements  and updates to reports may be delayed during the outage.
06/10/2019 10:13,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
06/07/2019 15:03,Keephills Unit 2 offline
06/05/2019 7:50,Path 2 O/S
06/02/2019 21:29,Keephills #3 on line.
06/02/2019 18:01,Sundance 6 on line.
06/01/2019 22:43,Keephills #3 off line.
06/01/2019 17:32,Keephills #3 on line.
06/01/2019 1:02,Shepard on line.
06/01/2019 0:40,Genesee 1 Offline
05/31/2019 14:22,Keephills 3 offline.
05/31/2019 06:19,Sundance 6 Offline.
05/30/2019 21:08,Sundance 4 offline.
05/29/2019 04:04,Keephills 2 Online.
05/28/2019 22:14,Battle River #3 offline.
05/27/2019 05:20,Keephills 1 Online.
05/27/2019 05:01,Sundance 6 Online.
05/27/2019 02:29,Keephills 1 Offline.
05/27/2019 02:11,Keephills 1 Online.
05/26/2019 09:37,Genesee 2 online.
05/25/2019 10:50,Keephills 2 off line.
05/25/2019 01:56,Shepard off line.
05/24/2019 10:56,Keephills #2 on line.
05/24/2019 02:47,Sundance Unit 4  on line.
05/23/2019 17:33,Genesee 2 Offline.
05/23/2019 09:03,The AESO is doing planned system maintenance today at 10:10pm MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
05/23/2019 05:29,Sundance Unit 6 off line
05/22/2019 21:29,Keephills Unit 2 off line
05/17/2019 14:12,Sundance 4 off line.
05/17/2019 10:47,The AESO is doing maintenance today at 11:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
05/17/2019 09:48,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
05/15/2019 15:49,Keephills 3 on line.
05/15/2019 15:32,Battle River 5 on line.
05/15/2019 13:25,Calgary Energy Centre on line.
05/15/2019 13:15,Battle River 5 off line.
05/15/2019 11:06,The AESO is doing maintenance today at 11:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
05/14/2019 15:35,Maintenance complete. Path 2 limits back to 153 MW both directions
05/14/2019 09:09,Path 2 limits now at 90Mw both directions due to scheduled maintenance.
05/11/2019 22:58,Sundance 6 On Line.
05/11/2019 22:36,Sundance 6 Off Line
05/11/2019 15:27,Mackay River On Line
05/11/2019 14:09,Mackay River Off Line
05/10/2019 13:26,Keephills 3 offline.
05/06/2019 16:48,Sundance 6 on line.
05/06/2019 14:15,Battle River 5 on line.
05/04/2019 17:05,Mackay River on line.
05/04/2019 15:08,Mackay river off line.
05/03/2019 21:28,Sundance #6 off line.
05/03/2019 20:52,Battle River #3 off line.
05/01/2019 0:31,Calgary Energy Centre offline.
04/30/2019 12:37,Path 83 in service.
04/30/2019 08:06,Sheerness 2 online.
04/30/2019 02:04,Battle River 3 on line.
04/29/2019 13:21,The AESO is doing maintenance today at 14:10 for approx. 20 minutes. ADaMS will be unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates may be delayed.
04/29/2019 01:00,Sheerness 2 off line.
04/28/2019 18:11,Path 2 in service.
04/28/2019 01:04,Path 83 offline.
04/27/2019 20:55,Path 2 out of service.
04/26/2019 15:22,Keephills 1 offline
04/26/2019 04:58,Keep Hills unit 1 on line.
04/25/2019 15:53,Keephills 1 offline
04/25/2019 04:49,Sundance 4 online.
04/24/2019 05:01,Sheerness 1 Online.
04/23/2019 09:05,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates to reports may be delayed.
04/23/2019 00:01,Sheerness 1 Offline.
04/18/2019 03:11,Sundance 6 online
04/18/2019 01:04,Sundance 6 offline
04/12/2019 17:09,Path 83 in service.
04/12/2019 17:00,1201L back in service.
04/11/2019 3:31,Battle River 5 off line
04/09/2019 16:45,1201L (520s-Cranbrook) out of service.
04/09/2019 16:37,Path 83 out of service
04/06/2019 1:14,Sheerness 2 on line.
04/05/2019 10:37,Sheerness 2 off line.
04/04/2019 11:21,For details  please see https://www.aeso.ca/market/market-updates/ip-address-change-advisory/
04/04/2019 11:19,The AESO will discontinue old IP addresses for ADaMS  ETS  Margo Public and VLTrader platforms  effective April 8  2019. Participants not using fully qualified domain names will need to update their systems.
03/28/2019 02:52,Sundance #4 offline.
03/26/2019 13:35,The AESO is doing maintenance today at 14:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
03/26/2019 10:39,The AESO is doing planned system maintenance today at 11:10am until 5:00pm MDT. ADaMS and ETS will remain fully functional. If your connection is lost  refresh or restart your browser and you will be able to log back in immediately.
03/25/2019 16:18,Users using static IP addresses beyond April 8  2019 will not be able to connect to our applications.
03/25/2019 16:17,The AESO will discontinue historical static IP addresses used to access ADaMS  ETS  Margo Public and VLTrader platforms  effective April 8  2019. Participants using static IP addresses will need to update their systems to now use fully qualified domain na
03/25/2019 01:17,Battle River 5 on Line
03/24/2019 05:35,Sundance 4 on line.
03/22/2019 22:59,Sundance #4 off line.
03/22/2019 09:38,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
03/21/2019 23:54,Sheerness 2 on line.
03/21/2019 22:18,Battle River 3 on line.
03/21/2019 19:03,Sheerness 2 off line.
03/21/2019 11:00,Keephills 1 on line.
03/20/2019 17:21,Battle River 5 off line.
03/20/2019 14:45,The AESO is doing planned system maintenance today at 15:10 MDT for approximately 5 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. No impact to ETS.
03/20/2019 12:10,The AESO is doing planned system maintenance today at 14:10 MDT for approximately 5 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. No impact to ETS.
03/20/2019 00:20,Sundance #6 on line.
03/19/2019 20:14,Sundance #6 off line.
03/18/2019 21:52,Keephills 1 off line.
03/18/2019 01:13,Sundance 6 on line.
03/16/2019 02:37,Sheerness 1 on line.
03/15/2019 22:28,Sundance 6 off line.
03/14/2019 23:29,Sheerness 1 off line
03/14/2019 13:32,Path 83 returned to service.
03/14/2019 13:18,1201L returned to service.
03/12/2019 17:15,Path 1 returned to Service
03/12/2019 15:29,Path 1 out of service
03/12/2019 12:25,Path 2 returned to service
03/12/2019 11:09,Path 2 out of service
03/12/2019 8:24,1201L out of service
03/12/2019 8:14,Path 83 out of service
03/11/2019 23:47,Sundance 4 online.
03/10/2019 21:37,Path 83 Back in service
03/10/2019 12:43,Path 83 out of service.
03/09/2019 13:52,The AESO maintenance delayed until 15:10.
03/09/2019 13:38,The AESO is doing maintenance today at 14:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates to reports may be delayed.
03/08/2019 17:22,Sundance 4 offline
03/08/2019 13:15,On March 10  2019  the AESO will switch from MST to MDT for all daily operations. ETS will be numbered as 01  03 through to 24 (removing HE 02). Participants are responsible for ensuring submissions for March 10 reflect the removal of HE 02.
03/06/2019 20:58,Sheerness 2 online
03/06/2019 2:03,Battle River 3 offline
03/05/2019 22:58,Sheerness 2 offline
03/05/2019 10:00,Sheerness 2 online
03/05/2019 9:49,Keephills 2 online
03/04/2019 15:44,Sundance 4 online
03/04/2019 13:07,Sundance 4 offline
03/04/2019 9:43,The AESO is doing planned system maintenance today at 10:10 MST for approximately 30 min. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restate
03/03/2019 16:33,Keephills 2 offline
03/03/2019 10:29,Battle River #4 on line.
03/03/2019 10:00,The AESO is doing planned system maintenance today at 10:10am MST for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
03/03/2019 9:45,Battle River #4 off line.
03/02/2019 14:42,McNeill Converter Station (Path 2) in service.
03/02/2019 4:17,Path 2 out of service.
03/01/2019 3:03,Sundance 4 on line.
02/27/2019 21:00,Battle River #3 on line.
02/27/2019 17:01,Sheerness #2 off line.
02/26/2019 22:22,Battle River #3 off line.
02/26/2019 13:51,The AESO is doing planned maintenance today at 14:10 MST for approx20 min. ETS access will be lost for approx 5  minutes. ETS submissions and restatements  and updates to reports may be delayed during the outage. No impact to ADaMS.
02/26/2019 09:36,The AESO is doing planned maintenance today at 10:10 MST for approx 20 min. ETS access will be lost for approx 5  min. ETS submissions and restatements  and updates to reports may be delayed during the outage. No impact to ADaMS.
02/26/2019 05:08,Sundance 4 off line.
02/25/2019 09:39,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates to reports may be delayed.
02/24/2019 10:56,Battle River #4 On line.
02/24/2019 10:13,Battle River 4 off line.
02/24/2019 06:01,Sundance 4 on line.
02/24/2019 01:07,Battle River 3 on line.
02/23/2019 14:30,Sundance 4 off line.
02/23/2019 12:03,Sundance 4 on line.
02/22/2019 13:49,Sundance 4 off line.
02/21/2019 22:40,Battle River #3 off line.
02/20/2019 08:33,The AESO is doing planned maintenance today at 9:10am-5:00pm. ADaMS/ETS will remain fully functional. Users opening new sessions of ETS may experience connectivity issues and may need to restart/refresh their browser.
02/19/2019 02:00,Battle River 3 online.
02/17/2019 15:14,Battle River #5 online.
02/17/2019 05:49,Battle River #5 off line.
02/15/2019 22:25,Battle River #3 off line.
02/14/2019 15:12,Battle River 3 on line.
02/13/2019 19:10,Battle River 5 on line.
02/13/2019 16:00,Battle River 5 off line.
02/13/2019 14:15,Battle River 5 on line.
02/13/2019 08:27,The AESO is doing planned maintenance today at 9:10am-5:00pm. ADaMS/ETS will remain fully functional. Users opening new sessions of ETS may experience connectivity issues and may need to restart/refresh their browser.
02/13/2019 07:32,Battle River 4 on line.
02/12/2019 23:41,Battle River (757s) 240/144kV transformer 912T out of service.
02/12/2019 23:40,Battle River 3  Battle River 4 & Battle River 5 off line.
02/08/2019 19:44,HR Milner off line
02/08/2019 9:34,The AESO is doing maintenance today at 10:10 for approx 30 min. ADaMS available for the duration. ETS submissions  restatements and updates to reports may be delayed.
02/06/2019 12:07,Sundance 6 on line.
02/06/2019 6:33,Sundance 6 off line.
02/04/2019 11:45,Keephills 3 on line.
02/04/2019 8:48,Keephills 1 online
02/04/2019 8:14,As of 8:14 MPT  the AESO has declared an EEA0.
02/04/2019 7:04,As of 7:04 MPT  the AESO has declared an EEA2.
02/04/2019 5:09,A supply shortfall is forecast starting at 06:00 on 2019-02-04. Any generating unit that is planning to start must notify the SC as soon aspractical. Refer to the supply adequacy report on the AESO website.
02/03/2019 19:15,Effective 19:15 MPT  the AESO has declared an EEA 0
02/03/2019 17:25,As of 17:25 MPT  the AESO has declared an EEA1
02/03/2019 17:00,Battle River 3 online
02/03/2019 10:06,A supply shortfall is forecast starting at 17:00 on 2019-02-03. Any generating unit that is planning to start must notify the SC as soon as practical. Refer to the supply adequacy report on the AESO website.
02/03/2019 9:15,Keephills #1 offline
02/03/2019 7:04,Keephills #3 offline
02/02/2019 4:59,Sundance 4 online
02/01/2019 9:29,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates to reports may be delayed.
01/29/2019 12:27,HR Milner off line.
01/29/2019 07:13,Battle River Unit #5 on line
01/25/2019 15:45,Path 2 in service.
01/25/2019 00:38,BR5 Offline
01/24/2019 16:07,REMINDER: The current ADaMS certificate will expire Tomorrow  January 25  2019. If you have not yet installed the new certificate please do so immediately to ensure continued access to ADaMS
01/24/2019 10:08,Path 2 out of service.
01/20/2019 09:00,Keephills #2 online.
01/19/2019 00:10,Sundance #4 offline.
01/18/2019 23:27,Sundance #4 offline.
01/18/2019 09:47,REMINDER: The current ADaMS certificate will expire on January 25  2019. If you havent installed the new certificate  please have your Corporate Contact request the new certificate via info@aeso.ca to ensure continued access to ADaMS.
01/17/2019 09:48,The AESO is doing planned maintenance today at 10:10 MST for approx 30 min. No outage to ADaMS or ETS  however  ETS submissions and restatements and updates to reports may be delayed.
01/17/2019 03:02,Sundance #6 online.
01/17/2019 01:23,Keephills #2 offline.
01/16/2019 16:43,The current ADaMS certificate will expire on January 25  2019. If you havent installed the new certificate  please have your Corporate Contact request the new certificate via info@aeso.ca to ensure continued access to ADaMS.
01/15/2019 14:39,The AESO is doing planned maintenance today at 3:00pm for approx 30 mins. ADaMS unavailable for the duration of the outage. System Controllers will dispatch via phone. No impacts to ETS.
01/15/2019 09:34,The AESO is doing planned maintenance today at 10:10 for approx 30 min. ADaMS unavailable for the duration of the outage. System Controllers will dispatch via phone. No impacts to ETS.
01/08/2019 18:33,Path 2 Returned to Service
01/08/2019 18:17,Path 2 Out of Service
01/08/2019 10:19,Battle River #4 online.
01/08/2019 10:05,The AESO is doing planned system maintenance today at 10:10am for approx 2 hours. ETS Submissions and restatements will be delayed for the first 30 minutes. Following that  users may lose ETS access but can refresh and log back in immediately.
01/08/2019 4:41,Battle River 4 offline.
01/08/2019 4:01,Battle River #4 online.
01/04/2019 19:17,Battle River #4 offline.
12/30/2018 14:34,Path 83 returned to service
12/30/2018 14:24,1201L returned to service
12/29/2018 16:11,1201L and Path 83 out of service. Path 1 remains in service.
12/29/2018 00:29,Sundance 6 Off Line
12/28/2018 16:11,Keephills 1 online
12/28/2018 06:51,Sheerness 1 online
12/26/2018 21:30,Sheerness 1 off line
12/25/2018 21:50,Keephills 1 offline
12/25/2018 03:03,Sundance 6 on line.
12/24/2018 05:35,Keephills 2 on line
12/22/2018 03:41,Sundance 4 online.
12/21/2018 21:49,Keephills 2 offline
12/20/2018 20:27,Sundance unit #6 offline.
12/18/2018 00:49,Sundance 4 offline.
12/17/2018 10:01,Path 2 returned to service
12/17/2018 09:17,Path 2 out of service
12/16/2018 19:59,Sundance 6 on line.
12/13/2018 10:06,The AESO is doing planned maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration of the outage. System Controllers will dispatch via phone. ETS access may be lost for 2-3 minutes. ETS submissions and restatements may be delayed.
12/12/2018 11:53,Path 83 In service.
12/12/2018 11:30,Path 83 out of service.
12/12/2018 9:45,The AESO is doing planned system maintenance today at 10:10 for approximately 20 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance.
12/11/2018 21:16,HR Milner Offline
12/11/2018 14:32,The AESO is doing planned maintenance today at 4:30pm MST for approx 2 hours. OR restatements and substitutions in ETS will be unavailable during the outage. No impact to ADaMS  energy submissions/restatements or reports in ETS.
12/11/2018 0:27,Sundance 6 offline.
12/10/2018 10:51,Planned maintenance is now complete and ETS is available.
12/10/2018 9:36,The AESO is doing planned system maintenance today at 10:10 am MST for approximately 20 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance.
12/09/2018 11:01,The AESO planned system maintenance has been canceled for today.
12/09/2018 10:23,The AESO planned system maintenance is delayed until today at 11:10 am MST. Submissions and restatements will be delayed for approximately 20 minutes.
12/09/2018 9:59,The AESO is doing planned system maintenance today at 10:10 am MST. Submissions and restatements will be delayed for approximately 20 minutes.
12/08/2018 15:06,Sundance 6 online.
12/07/2018 18:07,Sundance 6 off line.
12/06/2018 22:07,Battle River 3 off line
12/06/2018 6:00,Battle River 3 on line.
12/06/2018 1:26,Battle River 3 off line
12/04/2018 9:33,The AESO is doing planned maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration of the outage. System Controllers will dispatch via phone. ETS access may be lost for 2-3 minutes. ETS submissions and restatements may be delayed.
12/03/2018 2:00,Battle River 3 on line.
11/29/2018 09:36,The AESO is doing planned system maintenance today at 10:10 am MST. Submissions and restatements will be delayed for approximately 20 minutes.
11/27/2018 16:00,Sheerness 2 On Line.
11/27/2018 07:02,Sheerness 2 off line.
11/25/2018 10:33,Sundance 4 online.
11/25/2018 01:55,Sheerness 2 On line
11/24/2018 21:12,Sheerness 2 off line.
11/24/2018 15:28,Sheerness 2 On line
11/23/2018 21:40,Sundance 4 offline.
11/23/2018 20:03,Calgary Energy Center on line.
11/23/2018 19:35,HR Milner off line.
11/22/2018 22:02,Sheerness 2 off line.
11/21/2018 11:43,Sheerness 2 online.
11/20/2018 08:41,Sheerness 2 off line.
11/19/2018 13:31,The AESO is doing planned system maintenance today at 14:10 am MST. Users may lose ETS access  but will be able to log back in immediately. Submissions and restatements will be delayed for approximately 5 minutes.
11/19/2018 09:32,The AESO is doing planned system maintenance today at 10:10 am MST. Users may lose ETS access  but will be able to log back in immediately. Submissions and restatements will be delayed for approximately 5 minutes.
11/19/2018 05:03,Sheerness 1 online
11/17/2018 01:52,Battle River 3 offline
11/16/2018 13:09,Sheerness 1 offline
11/16/2018 03:04,Battle River 3 online
11/15/2018 11:36,MacKay River online
11/15/2018 10:22,MacKay River offline
11/15/2018 09:32,The AESO is doing planned system maintenance today at 10:10 pm MST. Users may lose ETS access  but will be able to log back in immediately. Submissions and restatements will be delayed for approximately 15 minutes.
11/13/2018 02:49,Keephills 2 online
11/11/2018 11:39,Keephills 1 on line.
11/10/2018 1:54,Keephills 2 offline.
11/09/2018 23:38,Keephills 1 offline.
11/09/2018 15:00,Shepard on line.
11/09/2018 14:14,Genesee # 2 on line.
11/09/2018 12:27,Keephills 1 on line.
11/09/2018 8:55,Shepard off line.
11/08/2018 11:31,Battle River 4 online
11/08/2018 8:39,Battle River 4 offline
11/07/2018 23:41,Genesee # 2 offline.
11/05/2018 15:09,The AESO is doing planned system maintenance today at 15:10 MST for approximately 10 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. No impact to ETS or reports.
11/05/2018 11:16,The AESO is doing planned system maintenance today at 11:10 MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. No impact to ETS or reports.
11/05/2018 10:43,Keephills 1 Offline.
11/05/2018 10:07,The AESO is doing planned system maintenance today at 10:10 MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. No impact to ETS or reports.
11/05/2018 2:01,Battle River 3 on line.
11/05/2018 1:02,Sundance 6 on line.
11/04/2018 14:34,Keephills 1 on line.
11/01/2018 16:40,Keephills 1 offline
11/01/2018 14:46,The AESO is doing planned maintenance today at 3:00pm for approx 30 min. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone. No impact to ETS or reports.
11/01/2018 9:36,The AESO is doing maintenance today at 10am for approx 30 min. ADaMS unavailable and System Controllers will dispatch via phone. ETS access may be lost for 2-3 minutes. ETS submissions  restatements and reports may be delayed.
10/26/2018 23:43,Sundance 6 offline.
10/25/2018 01:40,Genesee 3 on line
10/23/2018 22:18,Genesee 3 off line.
10/23/2018 13:40,Genesee 3 online
10/20/2018 10:37,Battle River #3 off line.
10/20/2018 04:45,Battle River #5 on line.
10/18/2018 02:49,Battle River #3 on line.
10/17/2018 20:19,Keephills 2 on line.
10/17/2018 17:27,Keephills 2 off line.
10/17/2018 16:56,Keephills 2 on line.
10/17/2018 10:43,Battle River 5 off line.
10/17/2018 02:58,Calgary Energy Center on line.
10/17/2018 02:12,Calgary Energy Center off line.
10/16/2018 09:00,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
10/14/2018 14:00,Battle River 3 online.
10/14/2018 00:56,Calgary Energy Center offline.
10/14/2018 00:32,Calgary Energy Center online.
10/13/2018 19:02,Keephills 2 off line.
10/13/2018 11:02,Sundance 6 online.
10/13/2018 10:37,Sundance 6 off line.
10/12/2018 19:27,Calgary Energy Centre Off Line
10/11/2018 11:22,Sheerness 1 on line
10/11/2018 10:04,The AESO is doing planned system maintenance today at 10:10am MST for approximately 10 minutes. ETS will be unavailable for the duration of this outage and submissions and restatements will be delayed.
10/11/2018 10:01,Battle River 3  on line
10/08/2018 10:29,Sheerness 1 off line.
10/05/2018 15:50,Path 83 back in service.
