Date,Event Type,Asset,Message,SMP,Price Spike (>$200),Max SMP After Event,SMP Growth from Event,Max SMP Date,Time from Event (minutes),Min SMP After Event,SMP Reduction from Event,Min SMP Date,Time from Event (minutes),Avg SMP before Event,Avg SMP After Event
2019-08-28 09:09:00,offline,Keephills 3,Keephills 3 offline.,47.55471553534571,true,214.35579585699858,350.75613100382367,2019-08-28 11:31:00,159.0,7.771899701414434,83.65693157046043,2019-08-28 11:48:00,142.0,57.789310060311124,58.412122654960754
2019-08-24 08:36:00,online,Keephills 3,Keephills 3 online.,153.15268209033366,true,216.0569866843311,41.07293697729351,2019-08-24 10:20:00,103.0,6.975174251654752,95.44560750980476,2019-08-24 10:19:00,104.0,56.874529638560844,60.74670632717186
2019-08-24 02:26:00,offline,Keephills 3,Keephills 3 off line.,59.85747539851985,true,218.13413205866192,264.42253971849925,2019-08-24 03:43:00,102.0,19.0625089325908,68.15350329148333,2019-08-24 04:08:00,77.0,54.10542010114824,54.26032372200461
2019-08-22 23:07:00,offline,Sundance 4,Sundance 4 offline,63.69210562081844,true,210.85065214015117,231.04676016745222,2019-08-22 23:54:00,98.0,19.059247685644877,70.07596545934389,2019-08-23 00:45:00,47.0,55.92052599634222,56.135908297888605
2019-08-22 10:45:00,maintenance,other,"""The AESO is doing maintenance today at 11:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions, restatements, updates to reports and DVN may be impacted.""",48.093937487222206,true,218.41875104353676,354.15027850769576,2019-08-22 12:12:00,7.0,15.661584335277443,67.43542917558273,2019-08-22 10:52:00,87.0,55.12411748313578,56.75533883771578
2019-08-21 09:40:00,maintenance,other,The AESO is doing maintenance today at 10:10 for approximately 10 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone.,48.85127033319025,true,216.12327081388975,342.41074866594107,2019-08-21 10:34:00,178.0,6.678901959573775,86.32808949691523,2019-08-21 12:38:00,54.0,54.63180136668559,58.2774441086945
2019-08-19 04:32:00,online,Sundance 4,Sundance #4 online.,61.845061074993254,false,192.69349405704648,211.5745876997139,2019-08-19 04:56:00,23.0,12.04856131364252,80.51815115998923,2019-08-19 04:55:00,24.0,60.48848674469573,53.61003810518969
2019-08-16 01:00:00,online,Genesee 1,Genesee 1 on line.,51.79292769980583,true,213.55082268261708,312.316569397983,2019-08-16 02:54:00,135.0,9.356624547118503,81.93455175704698,2019-08-16 03:15:00,114.0,56.707905665487296,55.79505188632268
2019-08-15 23:13:00,offline,Sundance 4,Sundance Unit 4 offline,56.60864022735663,true,212.84185763257642,275.9882886742061,2019-08-16 00:59:00,125.0,23.70573683495873,58.123465358380535,2019-08-16 01:18:00,106.0,54.632831209349874,57.19936124870049
2019-08-15 14:20:00,online,Path 2,Path 2 in service,49.009283954922964,true,217.6548074179869,344.1093398103474,2019-08-15 16:03:00,124.0,19.021249574947372,61.18847687625377,2019-08-15 16:24:00,103.0,53.71891413076578,56.65549326730764
2019-08-15 09:39:00,maintenance,other,"""The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions, restatements, updates to reports and DVN may be impacted.""",40.03986134754506,true,219.1340102646301,447.2896331047503,2019-08-15 10:42:00,117.0,6.9796766783207,82.56817970038091,2019-08-15 11:36:00,63.0,53.67087295786836,53.44380006241773
2019-08-14 03:40:00,offline,Battle 3,Battle River #3 offline.,52.96029244751783,true,218.09761130078454,311.8134572555715,2019-08-14 05:28:00,132.0,16.96639833164548,67.96392627843075,2019-08-14 05:52:00,108.0,57.264356952896115,60.898042119020204
2019-08-13 09:40:00,maintenance,other,The AESO is doing planned system maintenance today at 10:10 MDT for approximately 10 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.,54.11727796504624,true,211.6851467820261,291.1600042388518,2019-08-13 11:12:00,88.0,8.67072237713652,83.97790372469058,2019-08-13 11:08:00,92.0,61.10043265344733,53.281535160172545
2019-08-12 14:41:00,offline,Genesee 1,Genesee 1 offline.,64.34837631973579,true,219.06822727019164,240.44095562206581,2019-08-12 15:39:00,38.0,11.85379672657093,81.57871665996436,2019-08-12 15:19:00,58.0,54.999372119223274,57.502200687051236
2019-08-12 14:20:00,online,Keephills 3,Keephills 3 online.,54.75060985478202,true,219.06822727019164,300.1201591201231,2019-08-12 15:39:00,59.0,11.85379672657093,78.34947088623963,2019-08-12 15:19:00,79.0,56.328512434864,56.86327389539826
